t,left_ankle_joint
13.085000,0.404843626
13.087500,0.403952714
13.090000,0.403107527
13.092500,0.402309318
13.095000,0.401559291
13.097500,0.400858591
13.100000,0.400208306
13.102500,0.399609460
13.105000,0.399063011
13.107500,0.398569846
13.110000,0.398130782
13.112500,0.397746557
13.115000,0.397520403
13.117500,0.397292112
13.120000,0.397098910
13.122500,0.396954020
13.125000,0.396954020
13.127500,0.396954020
13.130000,0.396954020
13.132500,0.397024386
13.135000,0.397152148
13.137500,0.397336397
13.140000,0.397576573
13.142500,0.397872246
13.145000,0.398222995
13.147500,0.398628355
13.150000,0.399230509
13.152500,0.399634323
13.155000,0.400331105
13.157500,0.400966194
13.160000,0.401640658
13.162500,0.402365816
13.165000,0.403142150
13.167500,0.403968758
13.170000,0.404844517
13.172500,0.405768224
13.175000,0.406738620
13.177500,0.407754394
13.180000,0.408814187
13.182500,0.409916597
13.185000,0.411060182
13.187500,0.412243464
13.190000,0.413464934
13.192500,0.414723052
13.195000,0.416016256
13.197500,0.417342960
13.200000,0.418701564
13.202500,0.420090451
13.205000,0.421507995
13.207500,0.422952563
13.210000,0.424422518
13.212500,0.425916222
13.215000,0.427432039
13.217500,0.428968338
13.220000,0.430523495
13.222500,0.432095899
13.225000,0.433683948
13.227500,0.435286057
13.230000,0.436900659
13.232500,0.438526202
13.235000,0.440161160
13.237500,0.441804027
13.240000,0.443453320
13.242500,0.445107584
13.245000,0.446765390
13.247500,0.448425337
13.250000,0.450086053
13.252500,0.451908575
13.255000,0.453452122
13.257500,0.455253647
13.260000,0.456789190
13.262500,0.458577644
13.265000,0.460249053
13.267500,0.461907004
13.270000,0.463554099
13.272500,0.465189423
13.275000,0.466811968
13.277500,0.468420758
13.280000,0.470014850
13.282500,0.471593338
13.285000,0.473155352
13.287500,0.474700054
13.290000,0.476226645
13.292500,0.477734357
13.295000,0.479222459
13.297500,0.480690251
13.300000,0.482137070
13.302500,0.483562284
13.305000,0.484965294
13.307500,0.486345533
13.310000,0.487702467
13.312500,0.489035592
13.315000,0.490344437
13.317500,0.491628559
13.320000,0.492887548
13.322500,0.494121020
13.325000,0.495328624
13.327500,0.496510034
13.330000,0.497664954
13.332500,0.498793118
13.335000,0.499950941
13.337500,0.501264663
13.340000,0.502709784
13.342500,0.504269104
13.345000,0.505931147
13.347500,0.507686975
13.350000,0.509528996
13.352500,0.511450425
13.355000,0.513445004
13.357500,0.515506847
13.360000,0.517630336
13.362500,0.519810072
13.365000,0.522040826
13.367500,0.524317525
13.370000,0.526635230
13.372500,0.528989134
13.375000,0.531374552
13.377500,0.533786925
13.380000,0.536221814
13.382500,0.538674909
13.385000,0.541142022
13.387500,0.543619097
13.390000,0.546102206
13.392500,0.548587557
13.395000,0.551071490
13.397500,0.553550484
13.400000,0.556021151
13.402500,0.558480246
13.405000,0.560924659
13.407500,0.563351418
13.410000,0.565757689
13.412500,0.568140775
13.415000,0.570498112
13.417500,0.572827270
13.420000,0.575125949
13.422500,0.577391978
13.425000,0.579623311
13.427500,0.581818025
13.430000,0.583974316
13.432500,0.586090497
13.435000,0.588164991
13.437500,0.590196333
13.440000,0.592183161
13.442500,0.594124215
13.445000,0.596018333
13.447500,0.597864446
13.450000,0.599661575
13.452500,0.599598311
13.455000,0.599618281
13.457500,0.599637938
13.460000,0.599656549
13.462500,0.599674076
13.465000,0.599690534
13.467500,0.599705942
13.470000,0.599720318
