t,right_ankle_joint
2.837500,0.453013282
2.840000,0.454555166
2.842500,0.456353446
2.845000,0.458035470
2.847500,0.459705508
2.850000,0.461366164
2.852500,0.463016476
2.855000,0.464655389
2.857500,0.466281878
2.860000,0.467894952
2.862500,0.469493657
2.865000,0.471077075
2.867500,0.472644320
2.870000,0.474194545
2.872500,0.475726937
2.875000,0.477240717
2.877500,0.478735139
2.880000,0.480209496
2.882500,0.481663108
2.885000,0.483095334
2.887500,0.484505564
2.890000,0.485893219
2.892500,0.487257754
2.895000,0.488598654
2.897500,0.489915438
2.900000,0.491207652
2.902500,0.492474874
2.905000,0.493716713
2.907500,0.494932804
2.910000,0.496122815
2.912500,0.497286439
2.915000,0.498423399
2.917500,0.499549718
2.920000,0.500814089
2.922500,0.502217652
2.925000,0.503740242
2.927500,0.505369010
2.930000,0.507094360
2.932500,0.508908330
2.935000,0.510803906
2.937500,0.512774675
2.940000,0.514814639
2.942500,0.516918102
2.945000,0.519079594
2.947500,0.521293833
2.950000,0.523555696
2.952500,0.525860199
2.955000,0.528202493
2.957500,0.530577853
2.960000,0.532981676
2.962500,0.535409484
2.965000,0.537856923
2.967500,0.540319765
2.970000,0.542793908
2.972500,0.545275383
2.975000,0.547760350
2.977500,0.550245107
2.980000,0.552726084
2.982500,0.555199851
2.985000,0.557663114
2.987500,0.560112718
2.990000,0.562545645
2.992500,0.564959015
2.995000,0.567350085
2.997500,0.569716247
3.000000,0.572055027
3.002500,0.574364082
3.005000,0.576641197
3.007500,0.578884286
3.010000,0.581091385
3.012500,0.583260649
3.015000,0.585390355
3.017500,0.587478887
3.020000,0.589524746
3.022500,0.591526533
3.025000,0.593482957
3.027500,0.595392822
3.030000,0.597255029
3.032500,0.599068570
3.035000,0.599563063
3.037500,0.599609269
3.040000,0.599631318
3.042500,0.599650452
3.045000,0.599668352
3.047500,0.599685165
3.050000,0.599700922
3.052500,0.599715640
3.055000,0.599729337
3.057500,0.599742031
3.060000,0.599753735
3.062500,0.599764467
3.065000,0.599774238
