t,right_knee_joint
2.250000,-0.614576544
2.252500,-0.614576544
2.255000,-0.614576544
2.257500,-0.614576544
2.260000,-0.614871898
2.262500,-0.615235395
2.265000,-0.615677382
2.267500,-0.616451386
2.270000,-0.616934558
2.272500,-0.617870635
2.275000,-0.618749768
2.277500,-0.619682249
2.280000,-0.620690148
2.282500,-0.621777064
2.285000,-0.622942713
2.287500,-0.624185955
2.290000,-0.625505413
2.292500,-0.626899601
2.295000,-0.628366954
2.297500,-0.629905833
2.300000,-0.631744469
2.302500,-0.633240284
2.305000,-0.635188083
2.307500,-0.637022753
2.310000,-0.638902279
2.312500,-0.640839428
2.315000,-0.642833549
2.317500,-0.644882729
2.320000,-0.646984909
2.322500,-0.649137980
2.325000,-0.651339799
2.327500,-0.653588190
2.330000,-0.655880949
2.332500,-0.658215846
2.335000,-0.660590630
2.337500,-0.663003029
2.340000,-0.665450756
2.342500,-0.667931508
2.345000,-0.670442974
2.347500,-0.672982833
2.350000,-0.675548760
2.352500,-0.678138426
2.355000,-0.680749502
2.357500,-0.683379662
2.360000,-0.686026584
2.362500,-0.688687951
2.365000,-0.691361457
2.367500,-0.694044807
2.370000,-0.696735717
2.372500,-0.699431921
2.375000,-0.702131167
2.377500,-0.704831224
2.380000,-0.707529879
2.382500,-0.710224944
2.385000,-0.712914253
2.387500,-0.715595664
2.390000,-0.718267064
2.392500,-0.720926368
2.395000,-0.723571518
2.397500,-0.726200489
2.400000,-0.728938401
2.402500,-0.731399529
2.405000,-0.734082146
2.407500,-0.736617057
2.410000,-0.739122222
2.412500,-0.741600321
2.415000,-0.744049709
2.417500,-0.746468623
2.420000,-0.748855333
2.422500,-0.751208153
2.425000,-0.753525437
2.427500,-0.755805584
2.430000,-0.758047033
2.432500,-0.760248273
2.435000,-0.762407833
2.437500,-0.764524290
2.440000,-0.766596265
2.442500,-0.768622429
2.445000,-0.770601495
2.447500,-0.772532228
2.450000,-0.774413439
2.452500,-0.776243986
2.455000,-0.778022778
2.457500,-0.779748772
2.460000,-0.781420973
2.462500,-0.783038438
2.465000,-0.784600272
2.467500,-0.786105631
2.470000,-0.787553723
2.472500,-0.788943804
2.475000,-0.790275182
2.477500,-0.791547217
2.480000,-0.792759319
2.482500,-0.793910951
2.485000,-0.795001626
2.487500,-0.796030908
2.490000,-0.796998416
2.492500,-0.797903818
2.495000,-0.798746835
2.497500,-0.799527239
2.500000,-0.800244855
2.502500,-0.801109527
2.505000,-0.802228813
2.507500,-0.803558566
2.510000,-0.805074575
2.512500,-0.806760664
2.515000,-0.808604502
2.517500,-0.810595971
2.520000,-0.812726364
2.522500,-0.814987947
2.525000,-0.817373684
2.527500,-0.819877064
2.530000,-0.822491978
2.532500,-0.825212639
2.535000,-0.828033518
2.537500,-0.830949301
2.540000,-0.833954851
2.542500,-0.837045189
2.545000,-0.840215470
2.547500,-0.843460967
2.550000,-0.846777061
2.552500,-0.850159232
2.555000,-0.853603052
2.557500,-0.857104175
2.560000,-0.860658339
2.562500,-0.864261358
2.565000,-0.867909121
2.567500,-0.871597589
2.570000,-0.875322795
2.572500,-0.879080841
2.575000,-0.882867900
2.577500,-0.886680210
2.580000,-0.890514081
2.582500,-0.894365887
2.585000,-0.898232071
2.587500,-0.902109143
2.590000,-0.905993682
