t,right_hip1_joint,right_hip2_joint,right_thigh_joint,right_knee_joint,right_ankle_joint
0.727500,0.525600262,0.000078856,0.000167502,-0.980461366,0.571094057
0.730000,0.520479848,0.000076635,0.000163832,-0.975543005,0.569404176
0.732500,0.515292305,0.000074408,0.000160110,-0.970571548,0.567676238
0.735000,0.510041360,0.000072178,0.000156340,-0.965551915,0.565911629
0.737500,0.504730815,0.000069948,0.000152523,-0.960489183,0.564111798
0.740000,0.499364548,0.000067719,0.000148664,-0.955388581,0.562278258
0.742500,0.493561469,0.000065257,0.000144382,-0.949811019,0.560452705
0.745000,0.488410295,0.000063184,0.000140653,-0.945007782,0.558698916
0.747500,0.482539416,0.000060756,0.000136316,-0.939415521,0.556813157
0.750000,0.476940741,0.000058481,0.000132154,-0.934158900,0.555037716
0.752500,0.471316690,0.000056229,0.000127975,-0.928906347,0.553232087
0.755000,0.465663843,0.000053996,0.000123780,-0.923653093,0.551394317
0.757500,0.459986325,0.000051786,0.000119572,-0.918405123,0.549526629
0.760000,0.454288531,0.000049601,0.000115355,-0.913168916,0.547631455
0.762500,0.448574930,0.000047441,0.000111132,-0.907951118,0.545711318
0.765000,0.442850054,0.000045310,0.000106908,-0.902758531,0.543768841
0.767500,0.437118496,0.000043208,0.000102685,-0.897598116,0.541806748
0.770000,0.431384910,0.000041138,0.000098469,-0.892476984,0.539827866
0.772500,0.425654011,0.000039101,0.000094262,-0.887402401,0.537835136
0.775000,0.419930568,0.000037097,0.000090069,-0.882381782,0.535831612
0.777500,0.414219407,0.000035130,0.000085893,-0.877422691,0.533820465
0.780000,0.408525408,0.000033199,0.000081738,-0.872532841,0.531804991
0.782500,0.402853505,0.000031305,0.000077607,-0.867720087,0.529788613
0.785000,0.397208682,0.000029451,0.000073506,-0.862992435,0.527774881
0.787500,0.391595977,0.000027636,0.000069436,-0.858358036,0.525767480
0.790000,0.386020481,0.000025861,0.000065403,-0.853825188,0.523770233
0.792500,0.380487337,0.000024127,0.000061409,-0.849402345,0.521787100
0.795000,0.375001747,0.000022434,0.000057458,-0.845098118,0.519822187
0.797500,0.369568975,0.000020784,0.000053555,-0.840921289,0.517879748
0.800000,0.364194352,0.000019176,0.000049702,-0.836880824,0.515964193
0.802500,0.358883289,0.000017610,0.000045904,-0.832985896,0.514080090
0.805000,0.353641294,0.000016087,0.000042164,-0.829245917,0.512232182
0.807500,0.348473986,0.000014607,0.000038486,-0.825670578,0.510425398
0.810000,0.343387134,0.000013171,0.000034873,-0.822269917,0.508664873
0.812500,0.338386696,0.000011778,0.000031330,-0.819054406,0.506955981
0.815000,0.333478884,0.000010428,0.000027861,-0.816035081,0.505304379
0.817500,0.328670254,0.000009121,0.000024469,-0.813223736,0.503716079
0.820000,0.323967861,0.000007859,0.000021159,-0.810633223,0.502197554
0.822500,0.319379484,0.000006640,0.000017937,-0.808277931,0.500755929
0.825000,0.314914040,0.000005466,0.000014807,-0.806174627,0.499399300
0.827500,0.310582374,0.000004337,0.000011776,-0.804344075,0.498137373
0.830000,0.306399084,0.000003255,0.000008854,-0.802814778,0.496982952
0.832500,0.302388741,0.000002225,0.000006056,-0.801635688,0.495957025
0.835000,0.298556905,0.000001245,0.000003385,-0.800817219,0.495065053
0.837500,0.294724628,0.000000273,0.000000726,-0.799993034,0.494161055
0.840000,0.290867021,-0.000000699,-0.000001938,-0.799110178,0.493224426
0.842500,0.286984505,-0.000001670,-0.000004607,-0.798166988,0.492255102
0.845000,0.283078443,-0.000002639,-0.000007279,-0.797163681,0.491253752
0.847500,0.279150272,-0.000003606,-0.000009954,-0.796100623,0.490221072
0.850000,0.275201471,-0.000004571,-0.000012632,-0.794978268,0.489157767
0.852500,0.271233557,-0.000005532,-0.000015311,-0.793797156,0.488064549
0.855000,0.267248083,-0.000006490,-0.000017991,-0.792557911,0.486942139
0.857500,0.263246640,-0.000007444,-0.000020671,-0.791261241,0.485791264
0.860000,0.259230856,-0.000008393,-0.000023350,-0.789907940,0.484612662
0.862500,0.255202393,-0.000009337,-0.000026027,-0.788498883,0.483407081
0.865000,0.251162945,-0.000010275,-0.000028701,-0.787035029,0.482175280
0.867500,0.247114240,-0.000011207,-0.000031372,-0.785517417,0.480918028
0.870000,0.243058040,-0.000012131,-0.000034038,-0.783947170,0.479636108
0.872500,0.238996133,-0.000013048,-0.000036699,-0.782325489,0.478330315
0.875000,0.234930340,-0.000013958,-0.000039352,-0.780653656,0.477001459
0.877500,0.230862509,-0.000014858,-0.000041999,-0.778933029,0.475650364
0.880000,0.226794515,-0.000015750,-0.000044636,-0.777165045,0.474277870
0.882500,0.222728258,-0.000016632,-0.000047264,-0.775351217,0.472884833
0.885000,0.218665666,-0.000017504,-0.000049882,-0.773493131,0.471472126
